protocol,threads,hotset_prob,hotset_size,throughput_tps,avg_rt_us,retry_pct,total_retries
occ,1,0.5,10,14019.3,66.485,0,0
occ,2,0.5,10,8403.18,150.19,0.25,1
occ,4,0.5,10,7761.19,281.43,0.5,4
occ,8,0.5,10,7804.84,549.426,0.875,17
occ,16,0.5,10,7623.22,1030.52,1.6875,79
2pl,1,0.5,10,13999.7,66.695,0,0
2pl,2,0.5,10,7634.17,162.925,0,0
2pl,4,0.5,10,7745.48,266.226,0,0
2pl,8,0.5,10,10768.8,404.022,0,0
2pl,16,0.5,10,10794.3,815.412,0,0
occ,4,0.0,10,9809.69,295.076,0.375,3
occ,4,0.2,10,7304,301.868,0.625,5
occ,4,0.4,10,9438.64,253.505,0.5,4
occ,4,0.6,10,10973.9,221.589,0.375,3
occ,4,0.8,10,10432.2,226.566,0.625,5
occ,4,1.0,10,6706.29,304.906,0.5,4
2pl,4,0.0,10,10386.1,214.558,0,0
2pl,4,0.2,10,8937.75,274.564,0,0
2pl,4,0.4,10,8656.88,250.256,0,0
2pl,4,0.6,10,9735.79,248.025,0,0
2pl,4,0.8,10,6866.42,362.809,0,0
2pl,4,1.0,10,6624.33,362.159,0,0
